DEBUG 2024-09-26 22:42:07,217 autoreload File C:\Users\ADMIN\OneDrive\Desktop\projects\Assignment\IMS\IMS\settings.py previous mtime: 1727370504.3986306, current mtime: 1727370726.9351106
DEBUG 2024-09-26 22:42:07,254 autoreload C:\Users\ADMIN\OneDrive\Desktop\projects\Assignment\IMS\IMS\settings.py notified as changed. Signal results: [(<function template_changed at 0x000002596862B6A0>, None), (<function translation_file_changed at 0x0000025969931EE0>, None)].
INFO 2024-09-26 22:42:07,256 autoreload C:\Users\ADMIN\OneDrive\Desktop\projects\Assignment\IMS\IMS\settings.py changed, reloading.
INFO 2024-09-26 22:42:22,284 autoreload Watching for file changes with StatReloader
DEBUG 2024-09-26 22:42:22,287 autoreload Waiting for apps ready_event.
DEBUG 2024-09-26 22:42:23,096 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-09-26 22:42:23,118 autoreload Watching dir C:\Users\ADMIN\AppData\Local\Programs\Python\Python311\Lib\site-packages\rest_framework\templates with glob **/*.
DEBUG 2024-09-26 22:42:23,119 autoreload Watching dir C:\Users\ADMIN\OneDrive\Desktop\projects\Assignment\IMS\locale with glob **/*.mo.
DEBUG 2024-09-26 22:42:23,120 autoreload Watching dir C:\Users\ADMIN\AppData\Local\Programs\Python\Python311\Lib\site-packages\rest_framework\locale with glob **/*.mo.
DEBUG 2024-09-26 22:42:23,120 autoreload Watching dir C:\Users\ADMIN\AppData\Local\Programs\Python\Python311\Lib\site-packages\rest_framework_simplejwt\locale with glob **/*.mo.
DEBUG 2024-09-26 22:42:23,121 autoreload Watching dir C:\Users\ADMIN\OneDrive\Desktop\projects\Assignment\IMS\items\locale with glob **/*.mo.
DEBUG 2024-09-26 22:42:23,523 autoreload File C:\Users\ADMIN\AppData\Local\Programs\Python\Python311\Lib\concurrent\futures\_base.py first seen with mtime 1666616648.0
DEBUG 2024-09-26 22:42:23,524 autoreload File C:\Users\ADMIN\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\template\response.py first seen with mtime 1707925384.9812198
DEBUG 2024-09-26 22:42:23,524 autoreload File C:\Users\ADMIN\AppData\Local\Programs\Python\Python311\Lib\importlib\metadata\_meta.py first seen with mtime 1666616648.0
DEBUG 2024-09-26 22:42:23,525 autoreload File C:\Users\ADMIN\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\contrib\staticfiles\management\commands\runserver.py first seen with mtime 1707925383.808652
DEBUG 2024-09-26 22:42:23,525 autoreload File C:\Users\ADMIN\AppData\Local\Programs\Python\Python311\Lib\csv.py first seen with mtime 1666616648.0
DEBUG 2024-09-26 22:42:23,526 autoreload File C:\Users\ADMIN\AppData\Local\Programs\Python\Python311\Lib\wsgiref\headers.py first seen with mtime 1666616650.0
DEBUG 2024-09-26 22:42:23,526 autoreload File C:\Users\ADMIN\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\core\paginator.py first seen with mtime 1707925383.835533
DEBUG 2024-09-26 22:42:23,527 autoreload File C:\Users\ADMIN\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\apps\__init__.py first seen with mtime 1707925372.8013108
DEBUG 2024-09-26 22:42:23,527 autoreload File C:\Users\ADMIN\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\contrib\staticfiles\views.py first seen with mtime 1707925383.7949386
DEBUG 2024-09-26 22:42:23,528 autoreload File C:\Users\ADMIN\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\db\backends\base\client.py first seen with mtime 1707925384.2446492
DEBUG 2024-09-26 22:42:23,528 autoreload File C:\Users\ADMIN\AppData\Local\Programs\Python\Python311\Lib\site-packages\sqlparse\cli.py first seen with mtime 1707925371.1148155
DEBUG 2024-09-26 22:42:23,529 autoreload File C:\Users\ADMIN\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\contrib\admindocs\views.py first seen with mtime 1707925376.130276
DEBUG 2024-09-26 22:42:23,539 autoreload File C:\Users\ADMIN\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\contrib\messages\utils.py first seen with mtime 1707925380.854698
DEBUG 2024-09-26 22:42:23,543 autoreload File C:\Users\ADMIN\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\db\backends\signals.py first seen with mtime 1707925384.2354717
DEBUG 2024-09-26 22:42:23,547 autoreload File C:\Users\ADMIN\AppData\Local\Programs\Python\Python311\Lib\site-packages\psycopg\errors.py first seen with mtime 1706545131.4410048
DEBUG 2024-09-26 22:42:23,548 autoreload File C:\Users\ADMIN\AppData\Local\Programs\Python\Python311\Lib\site-packages\yaml\serializer.py first seen with mtime 1720946433.474873
DEBUG 2024-09-26 22:42:23,548 autoreload File C:\Users\ADMIN\AppData\Local\Programs\Python\Python311\Lib\site-packages\_distutils_hack\__init__.py first seen with mtime 1669823576.41051
DEBUG 2024-09-26 22:42:23,549 autoreload File C:\Users\ADMIN\AppData\Local\Programs\Python\Python311\Lib\site-packages\rest_framework\metadata.py first seen with mtime 1721064523.1431253
DEBUG 2024-09-26 22:42:23,549 autoreload File C:\Users\ADMIN\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\core\checks\security\sessions.py first seen with mtime 1707925383.9108832
DEBUG 2024-09-26 22:42:23,550 autoreload File C:\Users\ADMIN\AppData\Local\Programs\Python\Python311\Lib\site-packages\rest_framework_simplejwt\settings.py first seen with mtime 1727365250.1330688
DEBUG 2024-09-26 22:42:23,555 autoreload File C:\Users\ADMIN\AppData\Local\Programs\Python\Python311\Lib\site-packages\rest_framework\templatetags\__init__.py first seen with mtime 1721064523.5101657
DEBUG 2024-09-26 22:42:23,560 autoreload File C:\Users\ADMIN\AppData\Local\Programs\Python\Python311\Lib\site-packages\rest_framework\schemas\generators.py first seen with mtime 1721064523.3163838
DEBUG 2024-09-26 22:42:23,562 autoreload File C:\Users\ADMIN\AppData\Local\Programs\Python\Python311\Lib\unittest\__init__.py first seen with mtime 1666616648.0
DEBUG 2024-09-26 22:42:23,563 autoreload File C:\Users\ADMIN\AppData\Local\Programs\Python\Python311\DLLs\_bz2.pyd first seen with mtime 1666616688.0
DEBUG 2024-09-26 22:42:23,564 autoreload File C:\Users\ADMIN\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\contrib\auth\tokens.py first seen with mtime 1707925376.842196
DEBUG 2024-09-26 22:42:23,565 autoreload File C:\Users\ADMIN\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\contrib\auth\apps.py first seen with mtime 1707925376.7994232
DEBUG 2024-09-26 22:42:23,565 autoreload File C:\Users\ADMIN\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\core\signing.py first seen with mtime 1707925383.8394134
DEBUG 2024-09-26 22:42:23,567 autoreload File C:\Users\ADMIN\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\template\base.py first seen with mtime 1707925384.9544199
DEBUG 2024-09-26 22:42:23,567 autoreload File C:\Users\ADMIN\AppData\Local\Programs\Python\Python311\Lib\asyncio\base_subprocess.py first seen with mtime 1666616648.0
DEBUG 2024-09-26 22:42:23,568 autoreload File C:\Users\ADMIN\AppData\Local\Programs\Python\Python311\Lib\asyncio\runners.py first seen with mtime 1666616648.0
DEBUG 2024-09-26 22:42:23,568 autoreload File C:\Users\ADMIN\AppData\Local\Programs\Python\Python311\Lib\re\__init__.py first seen with mtime 1666616648.0
DEBUG 2024-09-26 22:42:23,568 autoreload File C:\Users\ADMIN\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\contrib\sessions\exceptions.py first seen with mtime 1707925382.2947311
DEBUG 2024-09-26 22:42:23,569 autoreload File C:\Users\ADMIN\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\db\models\functions\math.py first seen with mtime 1707925384.5145006
DEBUG 2024-09-26 22:42:23,569 autoreload File C:\Users\ADMIN\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\db\models\fields\files.py first seen with mtime 1707925384.4844394
DEBUG 2024-09-26 22:42:23,569 autoreload File C:\Users\ADMIN\AppData\Local\Programs\Python\Python311\Lib\site-packages\idna\idnadata.py first seen with mtime 1709718491.7928717
DEBUG 2024-09-26 22:42:23,570 autoreload File C:\Users\ADMIN\AppData\Local\Programs\Python\Python311\Lib\site-packages\psycopg2\_psycopg.cp311-win_amd64.pyd first seen with mtime 1706545154.8661873
DEBUG 2024-09-26 22:42:23,570 autoreload File C:\Users\ADMIN\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\db\models\functions\window.py first seen with mtime 1707925384.5295453
DEBUG 2024-09-26 22:42:23,571 autoreload File C:\Users\ADMIN\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\core\files\uploadedfile.py first seen with mtime 1707925383.9296105
DEBUG 2024-09-26 22:42:23,571 autoreload File C:\Users\ADMIN\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\templatetags\tz.py first seen with mtime 1707925385.0397139
DEBUG 2024-09-26 22:42:23,571 autoreload File C:\Users\ADMIN\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\template\engine.py first seen with mtime 1707925384.9706595
DEBUG 2024-09-26 22:42:23,572 autoreload File C:\Users\ADMIN\AppData\Local\Programs\Python\Python311\Lib\quopri.py first seen with mtime 1666616648.0
DEBUG 2024-09-26 22:42:23,572 autoreload File C:\Users\ADMIN\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\db\models\sql\where.py first seen with mtime 1707925384.5501761
DEBUG 2024-09-26 22:42:23,573 autoreload File C:\Users\ADMIN\AppData\Local\Programs\Python\Python311\Lib\site-packages\rest_framework\renderers.py first seen with mtime 1721064523.1543078
DEBUG 2024-09-26 22:42:23,574 autoreload File C:\Users\ADMIN\AppData\Local\Programs\Python\Python311\Lib\email\charset.py first seen with mtime 1666616648.0
